assembly_accession	tax_id	tax_name	superkingdom	kingdom	phylum	class	order	family	genus	species
GCA_030066045.1	3036781	Calothrix sp. MO_167.B12	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Calotrichaceae	Calothrix	NA
GCA_030066295.1	2729996	Crocosphaera sp.	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothecaceae	Crocosphaera	NA
GCA_030067735.1	3030677	Microcystis sp. M53598_WE2	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	NA
GCA_030068445.1	3022259	Roseofilum sp. BLCC_M91	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Desertifilales	Desertifilaceae	Roseofilum	NA
GCA_030068455.1	3022442	Roseofilum sp. BLCC_M143	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Desertifilales	Desertifilaceae	Roseofilum	NA
GCA_030068475.1	3022444	Roseofilum sp. BLCC_M154	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Desertifilales	Desertifilaceae	Roseofilum	NA
GCA_030068505.1	3022440	Roseofilum sp. BLCC_M114	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Desertifilales	Desertifilaceae	Roseofilum	NA
GCA_030130105.1	2027336	Aphanizomenon sp. PH219	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Aphanizomenon	NA
GCA_030130145.1	88823	Aphanizomenon sp. 202	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Aphanizomenon	NA
GCA_900009135.2	1729650	Planktothrix sp. PCC 11201	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Planktothrix	NA
GCA_900009145.1	671072	Planktothrix tepida PCC 9214	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Planktothrix	Planktothrix tepida
GCA_900009265.2	671071	Planktothrix paucivesiculata PCC 9631	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Planktothrix	Planktothrix paucivesiculata
GCA_900009275.2	329571	Planktothrix rubescens NIVA-CYA 18	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Planktothrix	Planktothrix rubescens
GCA_900010725.2	671068	Planktothrix serta PCC 8927	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Planktothrix	Planktothrix serta
GCA_900047545.1	431041	Candidatus Synechococcus spongiarum	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_900088535.1	1851505	Cyanobium sp. NIES-981	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Cyanobium	NA
GCA_900149785.2	1765956	Phormidium lacuna HE10JO	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Phormidium	Phormidium lacuna
GCA_900177365.1	1938863	Synechococcus sp. OG1	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_900177825.1	1938862	Synechococcus sp. 7002	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
