assembly_accession	tax_id	tax_name	superkingdom	kingdom	phylum	class	order	family	genus	species
GCA_002870345.1	1521413	Fischerella thermalis WC341	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
GCA_002870365.1	1521425	Fischerella thermalis WC558	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
GCA_002870385.1	1891711	Fischerella thermalis WC542	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
GCA_002870405.1	1891709	Fischerella thermalis WC527	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
GCA_002870415.1	1521420	Fischerella thermalis WC442	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
GCA_002870445.1	1521415	Fischerella thermalis WC344	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
GCA_002870465.1	1521410	Fischerella thermalis WC249	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
GCA_002870475.1	1521418	Fischerella thermalis WC439	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
GCA_002870505.1	1521407	Fischerella thermalis WC245	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
GCA_002870525.1	1891706	Fischerella thermalis WC1110	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
GCA_002870545.1	1521403	Fischerella thermalis WC114	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
GCA_002870565.1	2019662	Fischerella thermalis CCMEE 5268	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
GCA_002870585.1	2019663	Fischerella thermalis CCMEE 5273	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
GCA_002870605.1	2019665	Fischerella thermalis CCMEE 5319	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
GCA_002870615.1	2019664	Fischerella thermalis CCMEE 5282	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
GCA_002870635.1	2019667	Fischerella thermalis CCMEE 5198	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
GCA_002870665.1	2019572	Fischerella muscicola CCMEE 5323	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella muscicola
GCA_002870675.1	2019666	Fischerella thermalis CCMEE 5318	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
GCA_002870705.1	2019668	Fischerella thermalis BR2B	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
GCA_002870725.1	2019670	Fischerella thermalis CCMEE 5330	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
GCA_002870745.1	2019671	Fischerella thermalis CCMEE 5205	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
GCA_002870755.1	2019669	Fischerella thermalis CCMEE 5208	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
GCA_002870785.1	2019672	Fischerella thermalis CCMEE 5201	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
GCA_002870795.1	2026246	Fischerella thermalis CCMEE 5194	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
GCA_002870825.1	2026245	Fischerella thermalis CCMEE 5196	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
GCA_002870845.1	2026247	Fischerella thermalis CCMEE 5328	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
GCA_002893125.1	2014886	Cylindrospermopsis raciborskii C07	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Cylindrospermopsis	Cylindrospermopsis raciborskii
GCA_002893145.1	2014885	Cylindrospermopsis raciborskii C04	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Cylindrospermopsis	Cylindrospermopsis raciborskii
GCA_002893155.1	2014884	Cylindrospermopsis raciborskii C03	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Cylindrospermopsis	Cylindrospermopsis raciborskii
GCA_002893185.1	2014883	Cylindrospermopsis raciborskii S14	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Cylindrospermopsis	Cylindrospermopsis raciborskii
GCA_002893205.1	2014881	Cylindrospermopsis raciborskii S07	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Cylindrospermopsis	Cylindrospermopsis raciborskii
GCA_002893215.1	2014882	Cylindrospermopsis raciborskii S10	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Cylindrospermopsis	Cylindrospermopsis raciborskii
GCA_002893245.1	2014880	Cylindrospermopsis raciborskii S06	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Cylindrospermopsis	Cylindrospermopsis raciborskii
GCA_002893265.1	2014879	Cylindrospermopsis raciborskii S05	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Cylindrospermopsis	Cylindrospermopsis raciborskii
GCA_002893285.1	2014878	Cylindrospermopsis raciborskii S01	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Cylindrospermopsis	Cylindrospermopsis raciborskii
GCA_002896875.1	1869241	Nostoc sp. CENA543	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	NA
GCA_002897135.1	1861711	Nostoc cycadae WK-1	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	Nostoc cycadae
GCA_002897275.1	449468	Microcystis aeruginosa NIES-298	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
GCA_002897315.1	449468	Microcystis aeruginosa NIES-298	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
GCA_002900215.1	1884791	Euhalothece sp. KZN 001	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothecaceae	Euhalothece	NA
GCA_002914585.1	2043171	Pseudanabaena sp. BC1403	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Pseudanabaenaceae	Pseudanabaena	NA
GCA_002933835.1	449440	Microcystis aeruginosa NIES-87	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
GCA_002934005.1	2052836	Cuspidothrix issatschenkoi CHARLIE-1	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Cuspidothrix	Cuspidothrix issatschenkoi
GCA_002939305.1	1378066	Chroococcidiopsis sp. TS-821	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcidiopsidales	Chroococcidiopsidaceae	Chroococcidiopsis	NA
GCA_002949735.1	1261031	Nostoc sp. 'Peltigera membranacea cyanobiont' N6	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	NA
GCA_002949795.1	1618022	Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont'	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	NA
GCA_002964865.1	1433147	Gloeocapsopsis dulcis AAB1 = 1H9	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Chroococcaceae	Gloeocapsopsis	Gloeocapsopsis dulcis
GCA_003003615.1	2107700	filamentous cyanobacterium CCP2	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003003695.1	1920490	Phormidesmis priestleyi ULC007	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Leptolyngbyaceae	Phormidesmis	Phormidesmis priestleyi
GCA_003003715.1	2107705	filamentous cyanobacterium Phorm 46	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003003725.1	2107706	filamentous cyanobacterium Phorm 6	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003003775.1	1296344	Merismopedia glauca CCAP 1448/3	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Merismopediaceae	Merismopedia	Merismopedia glauca
GCA_003003795.1	2107698	Stenomitos frigidus ULC18	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Leptolyngbyaceae	Stenomitos	Stenomitos frigidus
GCA_003003835.1	2107689	Chroococcidiopsis cubana CCALA 043	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcidiopsidales	Chroococcidiopsidaceae	Chroococcidiopsis	Chroococcidiopsis cubana
GCA_003003845.1	2107692	Chamaesiphon polymorphus CCALA 037	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Chamaesiphonaceae	Chamaesiphon	Chamaesiphon polymorphus
GCA_003003885.1	2107693	Chlorogloea sp. CCALA 695	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Entophysalidaceae	Chlorogloea	NA
GCA_003003915.1	2107703	filamentous cyanobacterium CCP1	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003003925.1	2107695	Aphanothece cf. minutissima CCALA 015	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothecaceae	Aphanothece	Aphanothece minutissima
GCA_003003995.1	2107688	Pleurocapsa sp. CCALA 161	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pleurocapsales	Hyellaceae	Pleurocapsa	NA
GCA_003004015.1	2107697	Cyanosarcina cf. burmensis CCALA 770	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Chroococcaceae	Cyanosarcina	Cyanosarcina burmensis
GCA_003007785.1	2107694	Aphanothece hegewaldii CCALA 016	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothecaceae	Aphanothece	Aphanothece hegewaldii
GCA_003011125.1	1910958	Synechococcus lacustris str. Tous	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus lacustris
GCA_003011885.1	2116684	Cyanobium usitatum str. Tous	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Cyanobium	Cyanobium usitatum
GCA_003013815.1	2082950	Cyanothece sp. BG0011	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Cyanothecaceae	Cyanothece	NA
GCA_003015105.1	869949	Chroococcidiopsis sp. CCALA 051	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcidiopsidales	Chroococcidiopsidaceae	Chroococcidiopsis	NA
GCA_003015225.1	2116702	Synechocystis sp. IPPAS B-1465	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Merismopediaceae	Synechocystis	NA
GCA_003017785.1	2107701	filamentous cyanobacterium CCP5	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003017855.1	2107702	filamentous cyanobacterium CCT1	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003018975.1	2107699	filamentous cyanobacterium CCP4	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003019735.1	1967666	Microcystis sp. MC19	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	NA
GCA_003021375.1	1919145	Cyanobacteria bacterium SW_9_47_5	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003021405.1	1919140	Cyanobacteria bacterium SW_5_48_44	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003021425.1	1919138	Cyanobacteria bacterium SW_12_48_29	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003021435.1	1919137	Cyanobacteria bacterium SW_11_48_12	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003021465.1	1919135	Cyanobacteria bacterium QS_9_48_30	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003021485.1	1919131	Cyanobacteria bacterium QS_6_48_18	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003021505.1	1919129	Cyanobacteria bacterium QS_4_48_99	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003021525.1	1919125	Cyanobacteria bacterium QH_8_48_120	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003021535.1	1919122	Cyanobacteria bacterium QH_3_48_40	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003021545.1	1919121	Cyanobacteria bacterium QH_2_48_84	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003021585.1	1919120	Cyanobacteria bacterium QH_10_48_56	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003021605.1	1919119	Cyanobacteria bacterium QH_1_48_107	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003021825.1	1919143	Cyanobacteria bacterium SW_8_48_13	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003021845.1	1919141	Cyanobacteria bacterium SW_6_48_11	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003021855.1	1919132	Cyanobacteria bacterium QS_7_48_42	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003021885.1	1919128	Cyanobacteria bacterium QS_3_48_167	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003021905.1	1919144	Cyanobacteria bacterium SW_9_44_58	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003021925.1	1919126	Cyanobacteria bacterium QH_9_48_43	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003022095.1	1919139	Cyanobacteria bacterium SW_4_48_29	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003022125.1	1919134	Cyanobacteria bacterium QS_8_64_29	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003022145.1	1919133	Cyanobacteria bacterium QS_8_48_54	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003022165.1	1919142	Cyanobacteria bacterium SW_7_48_12	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003022175.1	1919136	Cyanobacteria bacterium SW_10_48_33	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003022205.1	1919130	Cyanobacteria bacterium QS_5_48_63	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003022225.1	1919127	Cyanobacteria bacterium QS_1_48_34	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003022245.1	1919124	Cyanobacteria bacterium QH_7_48_89	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003022265.1	1919123	Cyanobacteria bacterium QH_6_48_35	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003022385.1	2107704	filamentous cyanobacterium CCP3	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003030805.1	2137193	cyanobacterium G8-9	Bacteria	NA	Cyanobacteriota	NA	NA	NA	NA	NA
GCA_003054475.1	1914872	Nodularia spumigena UHCC 0039	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Nodularia	Nodularia spumigena
GCA_003060805.1	2153484	Arthrospira sp. TJSD092	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Arthrospira	NA
GCA_003112475.1	1502726	Microcystis sp. 0824	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	NA
GCA_003113895.1	2005467	Nostoc commune NIES-4072	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	Nostoc commune
GCA_003149585.1	1979185	Synechococcus sp. XM-24	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_003185865.1	2204170	Nostoc sp. 3335mG	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	NA
GCA_003206555.1	1979544	Microcystis aeruginosa Sj	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
GCA_003206625.1	449534	Microcystis aeruginosa NIES-1211	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
GCA_003208055.1	2213228	Prochlorococcus marinus XMU1408	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus
GCA_003208065.1	2213229	Prochlorococcus marinus XMU1403	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus
GCA_003208695.1	2162219	Prochlorococcus sp. AG-686-P16	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003208715.1	2162218	Prochlorococcus sp. AG-686-P11	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003208735.1	2162216	Prochlorococcus sp. AG-686-I20	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003208755.1	2161974	Synechococcus sp. AG-686-C23	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_003208775.1	2161960	Synechococcus sp. AG-686-A03	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_003208795.1	2162213	Prochlorococcus sp. AG-683-N17	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003208815.1	2161969	Synechococcus sp. AG-683-B03	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_003208835.1	2161958	Synechococcus sp. AG-683-C23	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_003208845.1	2162547	Prochlorococcus sp. AG-679-N20	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003208875.1	2162381	Prochlorococcus sp. AG-679-M23	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003208885.1	2162379	Prochlorococcus sp. AG-679-K21	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003208915.1	2161953	Synechococcus sp. AG-679-B21	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_003208935.1	2162377	Prochlorococcus sp. AG-676-P23	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003208955.1	2162374	Prochlorococcus sp. AG-676-O21	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003208975.1	2161952	Synechococcus sp. AG-676-F02	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_003208995.1	2162545	Prochlorococcus sp. AG-673-P17	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209005.1	2161927	Synechococcus sp. AG-673-D02	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_003209035.1	2161947	Synechococcus sp. AG-673-B08	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_003209055.1	2162362	Prochlorococcus sp. AG-670-O13	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209065.1	2162358	Prochlorococcus sp. AG-670-N10	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209095.1	2162355	Prochlorococcus sp. AG-670-L16	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209115.1	2162351	Prochlorococcus sp. AG-670-J16	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209135.1	2161941	Synechococcus sp. AG-670-D07	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_003209155.1	2161943	Synechococcus sp. AG-670-F22	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_003209165.1	2161940	Synechococcus sp. AG-670-B23	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_003209215.1	2161939	Synechococcus sp. AG-670-A19	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_003209235.1	2162349	Prochlorococcus sp. AG-463-P23	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209275.1	2162348	Prochlorococcus sp. AG-463-P14	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209295.1	2162346	Prochlorococcus sp. AG-463-L06	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209305.1	2162347	Prochlorococcus sp. AG-463-N15	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209355.1	2162340	Prochlorococcus sp. AG-463-D13	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209375.1	2162535	Prochlorococcus sp. AG-459-N19	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209415.1	2162532	Prochlorococcus sp. AG-459-J14	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209425.1	2162531	Prochlorococcus sp. AG-459-E08	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209455.1	2162529	Prochlorococcus sp. AG-459-C18	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209475.1	2162528	Prochlorococcus sp. AG-459-B06	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209495.1	2162333	Prochlorococcus sp. AG-455-O05	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209505.1	2162527	Prochlorococcus sp. AG-459-A09	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209535.1	2162329	Prochlorococcus sp. AG-455-B05	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209555.1	2161936	Synechococcus sp. AG-450-M17	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_003209565.1	2162525	Prochlorococcus sp. AG-449-J16	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209585.1	2162524	Prochlorococcus sp. AG-449-G23	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209615.1	2162523	Prochlorococcus sp. AG-449-D22	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209655.1	2162323	Prochlorococcus sp. AG-442-M23	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209675.1	2162324	Prochlorococcus sp. AG-442-N07	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209715.1	2162521	Prochlorococcus sp. AG-442-D10	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209735.1	2162317	Prochlorococcus sp. AG-436-N08	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209755.1	2162312	Prochlorococcus sp. AG-436-C14	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209775.1	2162318	Prochlorococcus sp. AG-436-O09	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209795.1	2162310	Prochlorococcus sp. AG-436-C05	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209815.1	2162306	Prochlorococcus sp. AG-432-O20	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_003209835.1	2162517	Prochlorococcus sp. AG-432-G10	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
